date,total,post_id
2022-12-19,658286,0
2022-12-20,668688,0
2022-12-21,678248,0
2022-12-22,686943,0
2022-12-23,696549,0
2022-12-24,705135,0
2022-12-25,713235,0
2022-12-26,719998,0
2022-12-27,727006,0
2022-12-28,734375,0
2022-12-29,742661,0
2022-12-30,750073,0
2022-12-31,757429,0
2023-01-01,764980,0
2023-01-02,771260,0
2023-01-03,777740,0
2023-01-04,784738,0
2023-01-05,791621,0
2023-01-06,798332,0
2023-01-07,803840,0
2023-01-08,809434,0
2023-01-09,815386,0
2023-01-10,821564,0
2023-01-11,827446,0
2023-01-12,833816,0
2023-01-13,840460,0
2023-01-14,845746,0
2023-01-15,851000,0
2023-01-16,856959,0
2023-01-17,862923,0
2023-01-18,868605,0
2023-01-19,874322,0
2023-01-20,880800,0
2023-01-21,886068,0
2023-01-22,891196,0
2023-01-23,896980,0
2023-01-24,902811,0
2023-01-25,908671,0
2023-01-26,914295,0
2023-01-27,920055,0
2023-01-28,925138,0
2023-01-29,930025,0
2023-01-30,935384,0
2023-01-31,940927,0
2023-02-01,946528,0
2023-02-02,952526,0
2023-02-03,959253,0
2023-02-04,964961,0
2023-02-05,970133,0
2023-02-06,976052,0
2023-02-07,982051,0
2023-02-08,989271,0
2023-02-09,996618,0
2023-02-10,1003482,0
2023-02-11,1008929,0
2023-02-12,1014530,1014530
2023-02-13,1020647,1020647
2023-02-14,1027448,1027448
2023-02-15,1033664,1033664
2023-02-16,1039745,1039745
2023-02-17,1046056,1046056
2023-02-18,1052097,1052097
2023-02-19,1057695,1057695
2023-02-20,1063378,1063378
2023-02-21,1069433,1069433
2023-02-22,1075479,1075479
2023-02-23,1081883,1081883
2023-02-24,1088019,1088019
2023-02-25,1092774,1092774
2023-02-26,1097359,1097359
2023-02-27,1102674,1102674
2023-02-28,1108059,1108059
2023-03-01,1113734,1113734
2023-03-02,1118927,1118927
2023-03-03,1123777,1123777
2023-03-04,1128393,1128393
2023-03-05,1133602,1133602
2023-03-06,1139331,1139331
2023-03-07,1144337,1144337
2023-03-08,1149746,1149746
2023-03-09,1155005,1155005
2023-03-10,1160255,1160255
2023-03-11,1164896,1164896
2023-03-12,1169511,1169511
2023-03-13,1174638,1174638
2023-03-14,1179814,1179814
2023-03-15,1184550,1184550
2023-03-16,1189731,1189731
2023-03-17,1195202,1195202
2023-03-18,1199869,1199869
2023-03-19,1204269,1204269
2023-03-20,1209044,1209044
2023-03-21,1213673,1213673
2023-03-22,1218602,1218602
2023-03-23,1223717,1223717
2023-03-24,1228790,1228790
2023-03-25,1233040,1233040
2023-03-26,1237175,1237175
2023-03-27,1241499,1241499
2023-03-28,1246919,1246919
2023-03-29,1252292,1252292
2023-03-30,1257543,1257543
2023-03-31,1262792,1262792
2023-04-01,1269732,1269732
2023-04-02,1274371,1274371
2023-04-03,1280069,1280069
2023-04-04,1285414,1285414
2023-04-05,1290863,1290863
2023-04-06,1296569,1296569
2023-04-07,1301901,1301901
2023-04-08,1306517,1306517
2023-04-09,1311391,1311391
2023-04-10,1316374,1316374
2023-04-11,1321130,1321130
2023-04-12,1326015,1326015
2023-04-13,1331678,1331678
2023-04-14,1337170,1337170
2023-04-15,1341870,1341870
2023-04-16,1346578,1346578
2023-04-17,1351922,1351922
2023-04-18,1356990,1356990
2023-04-19,1362216,1362216
2023-04-20,1367902,1367902
2023-04-21,1373393,1373393
2023-04-22,1378720,1378720
2023-04-23,1384050,1384050
2023-04-24,1389696,1389696
2023-04-25,1395279,1395279
2023-04-26,1401027,1401027
2023-04-27,1406972,1406972
2023-04-28,1413454,1413454
2023-04-29,1419201,1419201
2023-04-30,1424555,1424555
2023-05-01,1430631,1430631
2023-05-02,1436611,1436611
2023-05-03,1442213,1442213
2023-05-04,1448015,1448015
2023-05-05,1453846,1453846
2023-05-06,1458765,1458765
2023-05-07,1463405,1463405
2023-05-08,1468717,1468717
2023-05-09,1473953,1473953
2023-05-10,1479302,1479302
2023-05-11,1484426,1484426
2023-05-12,1489795,1489795
2023-05-13,1494815,1494815
2023-05-14,1499540,1499540
2023-05-15,1504774,1504774
2023-05-16,1509970,1509970
2023-05-17,1515236,1515236
2023-05-18,1520644,1520644
2023-05-19,1525889,1525889
2023-05-20,1530750,1530750
2023-05-21,1535434,1535434
2023-05-22,1540883,1540883
2023-05-23,1546695,1546695
2023-05-24,1552291,1552291
2023-05-25,1558132,1558132
2023-05-26,1564101,1564101
2023-05-27,1569962,1569962
2023-05-28,1575580,1575580
2023-05-29,1581228,1581228
2023-05-30,1587502,1587502
2023-05-31,1593973,1593973
2023-06-01,1600974,1600974
2023-06-02,1607818,1607818
2023-06-03,1614022,1614022
2023-06-04,1619899,1619899
2023-06-05,1626340,1626340
2023-06-06,1634946,1634946
2023-06-07,1642076,1642076
2023-06-08,1648888,1648888
2023-06-09,1655260,1655260
2023-06-10,1660957,1660957
2023-06-11,1666821,1666821
2023-06-12,1673058,1673058
2023-06-13,1679141,1679141
2023-06-14,1685272,1685272
2023-06-15,1691804,1691804
2023-06-16,1699665,1699665
2023-06-17,1705849,1705849
2023-06-18,1712053,1712053
2023-06-19,1718018,1718018
2023-06-20,1724072,1724072
2023-06-21,1730692,1730692
2023-06-22,1737984,1737984
2023-06-23,1744716,1744716
2023-06-24,1750561,1750561
2023-06-25,1757387,1757387
2023-06-26,1764063,1764063
2023-06-27,1770638,1770638
2023-06-28,1777646,1777646
2023-06-29,1785828,1785828
2023-06-30,1794486,1794486
2023-07-01,1809526,1809526
2023-07-02,1831528,1831528
2023-07-03,1851709,1873672
2023-07-04,1873672,1873672
2023-07-05,1895389,1895389
